model,scenario,Category
TIAM-ECN 1.1,EN_INDCi2030_1000f_NDCp,C3
WITCH 5.0,EN_INDCi2030_900f,C3
REMIND-Transport 2.1,Transport_Budg1100_Conv,C3
REMIND-Transport 2.1,Transport_Budg1100_Conv-LowD,C3
MESSAGE-GLOBIOM 1.0,SSP1-26,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f_COV,C3
REMIND-Transport 2.1,Transport_Budg1100_H2Push,C3
WITCH 5.0,EN_INDCi2030_900f_NDCp,C3
COFFEE 1.1,EN_NPi2020_600,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_800_COV,C3
WITCH 5.0,EN_NPi2020_800f,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f_COV_NDCp,C3
POLES ENGAGE,EN_NPi2020_500f,C3
POLES ENGAGE,EN_INDCi2030_900f,C4
AIM/CGE 2.2,EN_NPi2020_800,C3
MESSAGE-GLOBIOM 1.0,SSP2-19,C1
MERGE-ETL 6.0,DAC2_66,C4
POLES ENGAGE,EN_NPi2020_800,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f,C4
REMIND-MAgPIE 1.5,SSP1-26,C4
MESSAGEix-GLOBIOM 1.0,CD-LINKS_INDC2030i_1600,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f_NDCp,C4
REMIND-Transport 2.1,Transport_Budg1100_ElecPush,C3
COFFEE 1.1,EN_NPi2020_1200f,C5
REMIND-Transport 2.1,Transport_Budg1100_ElecPush-LowD,C3
WITCH 5.0,EN_INDCi2030_1000f_NDCp,C3
GEM-E3_V2021,EN_NPi2020_800,C3
WITCH 5.0,EN_INDCi2030_1000f,C3
REMIND-MAgPIE 2.1-4.2,NGFS2_Below 2°C - IPD-95th,C3
COFFEE 1.1,EN_NPi2020_1400f,C5
COFFEE 1.1,EN_INDCi2030_1400f,C5
COFFEE 1.1,EN_NPi2020_1600f,C5
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,C1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,C2
GCAM 5.3,NGFS2_Net-Zero 2050,C2
GCAM 5.3,SSP_SSP4,C2
C-ROADS-5.005,Ratchet-1.5-limCDR,C2
POLES ADVANCE,ADVANCE_2020_WB2C,C2
REMIND-MAgPIE 1.5,SSP1-19,C2
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_full,C2
GCAM 5.3,NGFS2_Divergent Net Zero Policies,C2
GCAM 5.3,R_MAC_50_n0,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_700f,C3
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_cost100,C2
WITCH 5.0,EN_NPi2020_900f,C3
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_nofuel,C1
IMAGE 3.0,EN_NPi2020_600f,C3
POLES ENGAGE,EN_NPi2020_900f,C4
REMIND 1.6,EMF30_Slower-to-faster,C3
POLES ENGAGE,EN_NPi2020_1000f,C4
REMIND 1.6,EMF30_Slower-to-faster+SLCF,C3
REMIND 1.6,EMF30_Slower-to-faster+SLCF+HFC,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_700f,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f_COV,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f_COV_NDCp,C4
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1600,C4
REMIND-Transport 2.1,Transport_Budg1100_ConvSyn,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1200f,C4
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_15,C5
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,C5
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_15,C5
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_15,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400f,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400f_NDCp,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1200f_COV,C4
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_15,C5
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15,C5
POLES EMF33,EMF33_tax_hi_full,C4
REMIND-MAgPIE 1.5,SSP5-34,C5
COFFEE 1.1,EN_INDCi2030_1600f,C5
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_limbio,C2
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,C3
GEM-E3_V2021,EN_INDCi2030_1000f,C4
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg1300,C3
GEM-E3_V2021,EN_INDCi2030_1000f_NDCp,C4
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_800,C3
POLES ENGAGE,EN_INDCi2030_1000f_NDCp,C4
WITCH 5.0,CO_Bridge,C3
POLES ENGAGE,EN_INDCi2030_1000f,C4
POLES ENGAGE,EN_NPi2020_1000f_COV,C4
GCAM 5.3,R_MAC_55_n8,C2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400f_COV,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400f_COV_NDCp,C4
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_cost100,C4
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_full,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1400f,C4
REMIND-MAgPIE 2.1-4.2,NGFS2_Below 2°C - IPD-median,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600f,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600f_NDCp,C5
WITCH 5.0,EN_INDCi2030_1200f_NDCp,C4
WITCH 5.0,EN_INDCi2030_1200f,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1400f_COV,C4
COFFEE 1.1,EN_NPi2020_1800f,C5
COFFEE 1.1,EN_INDCi2030_1800f,C5
POLES EMF30,EMF30_D_CO2-Only,C4
MESSAGE-GLOBIOM 1.0,ADVANCE_2030_Med2C,C4
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_nofuel,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600f_COV,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1600f_COV_NDCp,C5
WITCH-GLOBIOM 4.4,CD-LINKS_INDC2030i_1600,C3
IMAGE 3.0.1,SSP1-34,C5
MESSAGE-GLOBIOM 1.0,SSP1-34,C5
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,C1
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,C1
TIAM-ECN 1.1,EN_NPi2020_800,C3
C-ROADS-5.005,Ratchet-1.5-noCDR,C1
REMIND 2.1,CEMICS_opt_1p5,C1
WITCH-GLOBIOM 3.1,SSP1-19,C1
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1
REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP2_P50,C3
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,C1
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,C1
REMIND 2.1,LeastTotalCost_CBA_brkLR15_SSP2_P50,C3
REMIND 1.7,CEMICS-2.0-CDR8,C1
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,C1
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,C2
AIM/CGE 2.2,EN_NPi2020_400f,C2
REMIND 1.7,CEMICS-2.0-CDR12,C2
REMIND 2.1,CEMICS_GDPgrowth_1p5,C1
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_400,C1
REMIND 1.7,ADVANCE_2020_WB2C,C2
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_700,C3
REMIND 2.1,R2p1_SSP2-PkBudg900,C1
WITCH-GLOBIOM 4.4,CD-LINKS_NDC2030i_1000,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_DR2p,C3
GEM-E3_V2021,EN_NPi2020_500,C1
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,C2
MESSAGEix-GLOBIOM_1.2,COV_GreenPush_550,C1
GEM-E3_V2021,EN_NPi2020_600,C2
MESSAGEix-GLOBIOM_1.2,COV_SmartUse_550,C1
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,C1
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,C1
AIM/CGE 2.2,EN_NPi2020_300f,C1
REMIND 2.1,R2p1_SSP1-PkBudg1100,C2
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_none,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,C2
POLES ADVANCE,ADVANCE_2030_Price1.5C,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR2p,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,C2
IMAGE 3.2,SSP2_SPA2_19I_RE,C2
GCAM 5.3,SSP_SSP3,C2
MESSAGEix-GLOBIOM_1.2,COV_Restore_550,C1
MESSAGEix-GLOBIOM_1.2,COV_SelfReliance_550,C1
AIM/CGE 2.2,EN_NPi2020_600,C1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,C1
WITCH 5.0,EN_NPi2020_1000,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,C2
POLES EMF33,EMF33_WB2C_cost100,C1
MESSAGEix-GLOBIOM_1.2,COV_NoPolicyNoCOVID_550,C1
POLES EMF33,EMF33_WB2C_full,C1
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,C1
GCAM 5.3,R_MAC_50_n8,C1
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800,C3
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,C1
GEM-E3_V2021,EN_INDCi2030_800,C3
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,C1
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,C4
GCAM 5.2,"NGFS1_Immediate 2C with CDR (Orderly, Rep)",C4
POLES ENGAGE,EN_NPi2020_600f,C3
WITCH 5.0,EN_INDCi2030_800,C3
POLES ENGAGE,EN_NPi2020_600f_COV,C3
GEM-E3_V2021,EN_NPi2020_600_COV,C1
WITCH 5.0,EN_INDCi2030_800_NDCp,C3
AIM/CGE 2.2,EN_INDCi2030_800f,C3
IMAGE 3.0,EN_NPi2020_800,C3
POLES ENGAGE,EN_NPi2020_900,C3
REMIND 2.1,TechCost-SSP2-B1100-oilH,C3
MESSAGE-GLOBIOM 1.0,ADVANCE_2020_1.5C-2100,C1
IMAGE 3.0,CO_Bridge,C3
POLES ADVANCE,ADVANCE_2030_1.5C-2100,C2
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,C1
IMAGE 3.0.1,CD-LINKS_NPi2020_400,C2
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,C1
REMIND 2.1,TechCost-SSP2-B1100-windH,C3
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,C1
REMIND-MAgPIE 2.1-4.2,NGFS2_Delayed Transition,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,C2
REMIND 2.1,TechCost-SSP2-B1100-elh2H,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_800f,C3
AIM/CGE 2.2,EN_INDCi2030_900f,C3
MESSAGEix-GLOBIOM_1.1,NGFS2_Delayed Transition,C3
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,C2
REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP1_P50,C1
IMAGE 3.0.1,ADVANCE_2020_1.5C-2100,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,C1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_900,C3
COFFEE 1.1,EN_NPi2020_400,C1
REMIND-MAgPIE 2.1-4.2,NGFS2_Below 2°C,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_900_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_DR3p,C3
IMAGE 3.0,EN_INDCi2030_800f,C3
IMAGE 3.0.1,ADVANCE_2030_WB2C,C3
REMIND-MAgPIE 1.7-3.0,SMP_2C_lifesty,C1
GCAM 5.3,SSP_SSP2,C3
GCAM 5.3,SSP_SSP5,C3
WITCH 5.0,EN_INDCi2030_900,C3
WITCH 5.0,EN_INDCi2030_900_NDCp,C3
POLES EMF33,EMF33_Med2C_none,C3
AIM/CGE 2.2,EN_INDCi2030_1000f,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,C1
REMIND 2.1,TechCost-SSP2-B1100-coalH,C3
REMIND 2.1,TechCost-SSP2-B1100-gasH,C3
REMIND 2.1,TechCost-SSP2-B1100-spvH,C3
REMIND 2.1,R2p1_SSP2-PkBudg1100,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,C1
REMIND 2.1,TechCost-SSP2-B1100-nucH,C3
IMAGE 3.0,EN_NPi2020_800f,C3
IMAGE 3.0,CO_2Deg2020,C3
REMIND 2.1,TechCost-SSP2-B1100-ccsH,C3
REMIND 2.1,TechCost-SSP2-B1100-bioH,C3
IMAGE 3.0,EN_INDCi2030_1000f,C4
IMAGE 3.0.1,CD-LINKS_NDC2030i_1000,C3
IMAGE 3.0.1,SSP4-26,C3
